0.67 	1.27 
0.70 	1.27 
0.30 	1.88 
0.89 	1.89 
0.61 	1.37 
0.65 	1.80 
0.48 	1.06 
0.76 	1.15 
0.52 	1.59 
0.51 	1.50 
0.95 	1.83 
0.30 	1.85 
0.38 	1.38 
0.21 	1.07 
0.87 	1.83 
0.43 	1.85 
0.00 	1.70 
0.69 	1.33 
0.06 	1.81 
0.29 	1.69 
0.94 	1.77 
0.27 	1.20 
0.67 	1.56 
0.85 	1.80 
0.40 	1.25 
0.43 	1.71 
0.54 	1.98 
0.28 	1.63 
0.57 	1.81 
0.67 	1.66 
0.06 	1.34 
0.59 	1.49 
0.67 	1.32 
0.29 	1.63 
0.60 	1.38 
0.31 	1.97 
0.03 	1.75 
0.86 	1.50 
0.90 	1.25 
0.80 	1.46 
0.10 	1.95 
0.99 	1.62 
0.79 	1.63 
0.57 	1.95 
0.59 	1.11 
0.56 	1.19 
0.83 	1.45 
0.91 	1.99 
0.68 	2.00 
0.68 	1.56 
0.43 	1.09 
0.43 	1.83 
0.77 	1.54 
0.40 	1.94 
0.53 	1.74 
0.01 	1.70 
0.71 	1.57 
0.14 	1.77 
0.90 	1.88 
0.76 	1.55 
0.84 	1.65 
0.49 	1.50 
0.22 	1.64 
0.78 	1.72 
0.80 	1.24 
0.72 	1.70 
0.62 	1.59 
0.00 	1.88 
0.04 	1.72 
0.63 	1.70 
0.52 	1.98 
0.26 	1.05 
0.45 	1.57 
0.28 	1.50 
0.23 	1.74 
0.75 	1.37 
0.58 	1.81 
0.41 	1.44 
0.95 	1.41 
0.25 	1.48 
0.14 	1.87 
0.84 	1.85 
0.71 	1.10 
0.03 	1.52 
0.03 	1.15 
0.64 	1.78 
0.18 	1.83 
0.97 	1.48 
0.26 	1.68 
0.06 	1.79 
0.76 	1.80 
0.46 	1.47 
0.84 	1.21 
0.94 	1.82 
0.96 	1.72 
0.02 	1.65 
0.19 	1.55 
0.57 	1.11 
0.11 	1.84 
0.91 	1.09 
0.23 	1.96 
0.12 	1.65 
0.27 	1.07 
0.41 	1.71 
0.73 	1.87 
0.11 	1.58 
0.60 	1.34 
0.60 	1.76 
0.08 	1.32 
0.06 	1.42 
0.89 	1.18 
0.80 	1.93 
0.56 	1.23 
0.79 	1.48 
0.58 	1.82 
0.08 	1.91 
0.17 	1.85 
0.41 	1.35 
0.78 	1.02 
0.87 	1.26 
0.14 	1.28 
0.44 	1.78 
0.62 	1.66 
0.82 	2.00 
0.75 	1.20 
0.47 	1.47 
0.11 	1.13 
0.86 	1.07 
0.26 	1.25 
0.35 	1.28 
0.04 	1.88 
0.80 	1.57 
0.06 	1.02 
0.16 	1.79 
0.16 	1.84 
0.92 	1.26 
0.86 	1.49 
0.54 	1.64 
0.76 	1.80 
0.74 	1.02 
0.07 	1.82 
0.67 	1.13 
0.82 	1.53 
0.84 	1.19 
0.60 	1.46 
0.12 	1.58 
0.40 	1.89 
0.90 	1.71 
0.16 	1.83 
0.66 	1.89 
0.53 	1.41 
0.43 	1.78 
0.37 	1.48 
0.11 	1.46 
0.45 	1.06 
0.50 	1.03 
0.17 	1.45 
0.80 	1.28 
0.39 	1.31 
0.31 	1.87 
0.22 	1.56 
0.54 	1.47 
0.70 	1.10 
0.17 	1.53 
0.14 	1.82 
0.47 	1.24 
0.03 	1.98 
0.24 	1.11 
0.35 	1.19 
0.05 	1.47 
0.17 	1.05 
0.51 	1.43 
0.06 	1.31 
0.91 	1.09 
0.02 	1.25 
0.37 	1.97 
0.83 	1.06 
0.59 	1.38 
